idx,file,subject,stage,crop,ratio,heroC,hdrC,tileC,sqC,skin,skinY,skinLost,mean,sd,blown,sat,ringsat,cast
201,iStock-520712882 (1).jpg,clinical,s6,T,1.5,1.142,1.151,1.059,1.173,0,0,0,196.0,42.9,0.1483,0.047,0.03,5.9
202,iStock-522311951.jpg,move,s2,N,0.667,1.083,1.081,1.115,1.084,0,0,0,136.2,60.7,0.0164,0.192,0.183,-7.2
203,iStock-525338868.jpg,clinical,s1,T,1.499,1.129,1.082,1.067,1.194,0,0,0,181.5,58.9,0.104,0.28,0.231,47.0
204,iStock-528286906 (1).jpg,family,s6,H,1.506,1.369,1.542,1.098,1.29,0,0,0,208.2,46.3,0.0202,0.183,0.184,-14.7
205,iStock-538335514.jpg,move,s6,T,1.5,1.526,1.644,1.108,1.08,0,0,0,191.9,74.5,0.2913,0.159,0.121,25.6
206,iStock-546206734-modified-659fed1e-0c5d-43b9-ab12-abdf4fdf1d43.jpg,mind,s6,H,1.501,1.058,1.107,1.07,1.098,0,0,0,103.2,46.0,0.0,0.361,0.391,-17.3
207,iStock-547048740.jpg,move,s2,T,1.5,0.994,1.033,1.141,0.965,0,0,0,199.9,52.7,0.2524,0.118,0.089,10.0
208,iStock-579762324-modified-d2ef88fd-05f9-4b82-a04e-8f1e07e428ed.jpg,outdoors,s5,H,1.508,1.021,0.965,1.084,1.086,0,0,0,166.7,63.2,0.1261,0.281,0.276,-13.3
209,iStock-583958310.jpg,mind,s5,H,1.499,1.097,1.053,1.031,0.941,0,0,0,115.3,53.3,0.0,0.469,0.48,-67.3
210,iStock-585796562 (1) (1).jpg,family,s6,T,1.499,0.902,0.897,1.058,1.113,0,0,0,153.8,40.8,0.0023,0.52,0.686,94.5
211,iStock-597269402.jpg,digital,s6,T,1.5,1.048,1.073,1.04,1.099,0,0,0,137.2,56.0,0.0,0.302,0.243,18.6
212,iStock-601912026.jpg,move,s3,T,1.5,1.324,1.463,1.077,1.141,0,0,0,159.3,83.8,0.243,0.261,0.26,30.2
213,iStock-611857304.jpg,move,s3,T,1.912,1.089,1.046,1.035,1.25,0,0,0,194.7,73.1,0.4105,0.159,0.169,18.4
214,iStock-612619528.jpg,outdoors,s5,H,1.5,1.255,1.457,1.046,1.107,0,0,0,178.5,83.6,0.4754,0.251,0.267,4.3
215,iStock-613241502.jpg,work,s6,T,1.5,1.163,1.136,1.045,1.06,0,0,0,129.3,63.5,0.0,0.268,0.274,6.6
